node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,geometry
1938,,-35.000000,2.000000,,,6,"POINT (-35.000000 2.000000)"
1937,,-35.000000,1.000000,,,7,"POINT (-35.000000 1.000000)"
1936,,-35.000000,0.000000,,,8,"POINT (-35.000000 0.000000)"
1935,,-33.000000,0.000000,,,9,"POINT (-33.000000 0.000000)"
1934,,-33.000000,1.000000,,,10,"POINT (-33.000000 1.000000)"
1933,,-33.000000,2.000000,,,11,"POINT (-33.000000 2.000000)"
1932,,-32.000000,1.000000,,,12,"POINT (-32.000000 1.000000)"
1930,,-33.000000,3.000000,,,13,"POINT (-33.000000 3.000000)"
1929,,-33.000000,4.000000,,,14,"POINT (-33.000000 4.000000)"
1928,,-30.000000,1.000000,,,15,"POINT (-30.000000 1.000000)"
1927,,-30.000000,3.000000,,,16,"POINT (-30.000000 3.000000)"
1924,,-28.000000,1.000000,,,17,"POINT (-28.000000 1.000000)"
1923,,-28.000000,3.000000,,,18,"POINT (-28.000000 3.000000)"
19401,,-36.000000,1.000000,,,19,"POINT (-36.000000 1.000000)"
[background_image_coordinate_info]
left=0.000000
bottom=0.000000
right=1000.000000
top=1000.000000
width=1.000000
